file,listing,post_code,index,attachment_id,url,alt,alt_source,status
L04_DY3rdjmDJiE_01.jpg,L04,DY3rdjmDJiE,1,7687,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חזית הבניין ברחוב אליהו ברלין",shotlist #1,uploaded
L04_DY3rdjmDJiE_02.jpg,L04,DY3rdjmDJiE,2,7688,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_02.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 5",fallback,uploaded
L04_DY3rdjmDJiE_03.jpg,L04,DY3rdjmDJiE,3,7689,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_03.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חלל המגורים לכיוון המרפסת",shotlist #3,uploaded
L04_DY3rdjmDJiE_04.jpg,L04,DY3rdjmDJiE,4,7690,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_04.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חלל המגורים לכיוון המרפסת",shotlist #3,uploaded
L04_DY3rdjmDJiE_05.jpg,L04,DY3rdjmDJiE,5,7691,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_05.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, המטבח",shotlist #5,uploaded
L04_DY3rdjmDJiE_06.jpg,L04,DY3rdjmDJiE,6,7692,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DY3rdjmDJiE_06.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, המטבח",shotlist #5,uploaded
L04_DZmlgo7iNkO_01.jpg,L04,DZmlgo7iNkO,1,7693,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DZmlgo7iNkO_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חלל המגורים לכיוון המרפסת",shotlist #3,uploaded
L04_DZmlgo7iNkO_02.jpg,L04,DZmlgo7iNkO,2,7694,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DZmlgo7iNkO_02.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חלל המגורים לכיוון המרפסת",shotlist #3,uploaded
L04_DZmlgo7iNkO_03.jpg,L04,DZmlgo7iNkO,3,7695,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DZmlgo7iNkO_03.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, המטבח",shotlist #5,uploaded
L04_DZmlgo7iNkO_04.jpg,L04,DZmlgo7iNkO,4,7696,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DZmlgo7iNkO_04.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, המטבח",shotlist #5,uploaded
L04_DZmlgo7iNkO_05.jpg,L04,DZmlgo7iNkO,5,7697,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DZmlgo7iNkO_05.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, ההליכה לחוף תל ברוך ולטיילת",shotlist #10,uploaded
L04_DakowlenGvk_01.jpg,L04,DakowlenGvk,1,7698,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DakowlenGvk_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 15",fallback,uploaded
L04_DakowlenGvk_02.jpg,L04,DakowlenGvk,2,7699,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DakowlenGvk_02.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 16",fallback,uploaded
L04_DapahT4nA--_01.jpg,L04,DapahT4nA--,1,7700,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DapahT4nA-_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 17",fallback,uploaded
L04_DapahT4nA--_02.jpg,L04,DapahT4nA--,2,7701,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DapahT4nA-_02.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 18",fallback,uploaded
L04_DapahT4nA--_03.jpg,L04,DapahT4nA--,3,7702,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DapahT4nA-_03.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 19",fallback,uploaded
L04_DapahT4nA--_04.jpg,L04,DapahT4nA--,4,7703,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DapahT4nA-_04.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 20",fallback,uploaded
L04_Dbn_Lk4HJQ3_01.jpg,L04,Dbn_Lk4HJQ3,1,7704,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_Dbn_Lk4HJQ3_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 21",fallback,uploaded
L04_Dbn_Lk4HJQ3_02.jpg,L04,Dbn_Lk4HJQ3,2,7705,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_Dbn_Lk4HJQ3_02.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, חלל המגורים לכיוון המרפסת",shotlist #3,uploaded
L04_Dbn_Lk4HJQ3_03.jpg,L04,Dbn_Lk4HJQ3,3,7706,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_Dbn_Lk4HJQ3_03.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, המרפסת והנוף הפתוח",shotlist #4,uploaded
L04_Dbn_Lk4HJQ3_04.jpg,L04,Dbn_Lk4HJQ3,4,7707,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_Dbn_Lk4HJQ3_04.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 24",fallback,uploaded
L04_DcgsxTbDfc0_01.jpg,L04,DcgsxTbDfc0,1,7708,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DcgsxTbDfc0_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 25",fallback,uploaded
L05_DRJ5N2IALVd_01.jpg,L05,DRJ5N2IALVd,1,7709,https://nad-lan.co.il/wp-content/uploads/2026/09/L05_DRJ5N2IALVd_01.jpg,"3.5 חדרים מרוהטת עם שוכר, רחוב אליהו ברלין, תמונה 1",fallback,uploaded
L05_DRMV24OjCcv_01.jpg,L05,DRMV24OjCcv,1,7710,https://nad-lan.co.il/wp-content/uploads/2026/09/L05_DRMV24OjCcv_01.jpg,"3.5 חדרים מרוהטת עם שוכר, רחוב אליהו ברלין, תמונה 2",fallback,uploaded
